,full:0
0,4.747204753647171
1,4.550423586510933
2,4.618659082479134
3,4.761731376301041
4,4.640787065023462
5,4.629374197557749
6,4.78829991363161
7,4.676026768143191
8,4.940340908468912
9,4.521358566803054
10,4.531715414887263
11,4.5584750987979215
12,4.525721647049094
13,4.851595788405056
14,4.544642569455624
15,4.61966332213948
16,4.575900944794534
17,4.51137466867351
18,4.693595413495984
19,4.699744105061646
20,5.89033431334465
21,4.7233118468724715
22,4.837168719373088
23,4.543841588243777
24,4.853403929822806
25,4.544686247074515
26,4.517817374120822
27,4.8043859109816625
28,5.09519244045847
29,4.993715886665068
30,4.599994954764665
31,4.538030462492125
32,4.624759742544292
33,4.543123539334039
34,4.544175809644016
35,5.165146332072782
36,4.509934926608658
37,4.565996744537497
38,4.6016993944729405
39,4.8980294297935
40,4.5534749757231365
41,4.842864963854438
42,4.580543175638224
43,4.752205940180402
44,4.851642322611126
45,5.107662640977399
46,4.922872586666589
47,4.540617672212692
48,4.995172792098388
49,4.691649551771568
50,5.368426823341715
51,5.0051812894151215
52,5.112901610737068
53,4.59706296759898
54,4.711839426177967
55,5.099102425832375
56,4.595952646271538
57,4.583530462244338
58,5.227319642425798
59,4.721147852522412
60,5.28128125251406
61,4.75176127508016
62,4.542648869080003
63,4.550199965029119
64,4.640464921176594
65,4.51140055255448
66,4.715407328626204
67,4.947888258968672
68,4.555961458424321
69,5.097592324079006
70,4.73073692434687
71,4.937523994225906
72,4.854528853636916
73,6.753433462118105
74,4.851282768071957
75,4.535982284530342
76,4.79537649263861
77,4.509956704200135
78,7.173772526221447
79,5.236176282872467
80,4.651706666405296
81,4.517822755526828
82,4.75525754096421
83,4.61619724053857
84,4.650824510644984
85,4.977106901706406
86,4.736506186914224
87,4.77707019392782
88,4.695928325695436
89,5.091023407472004
90,5.628735331189755
91,4.852971022592739
92,4.5029810861227295
93,4.9489808429813404
94,4.616089802171969
95,4.806519285888958
96,4.638703178677958
97,5.185834537590814
98,4.554398764787764
99,4.788213027096517
100,4.583348191990575
101,6.004972782478549
102,5.229420645092494
103,4.612707050847251
104,4.744455194284307
105,4.546537379619645
106,4.519244733982755
107,4.679328545138032
108,4.610575079645638
109,5.189847254838364
110,4.98051967577304
111,4.562567052396437
112,4.6390476795375095
113,4.58056488634028
114,4.878336732713031
115,4.510613577765735
116,4.5755135858831935
117,4.54899665694581
118,4.720833153461904
119,4.868831853879431
120,4.503711553852489
121,4.549185479055201
122,4.533930954205932
123,5.16138740791688
124,4.540583476771356
125,4.541472694446552
126,4.530657401154618
127,4.770843050312917
128,4.655275041419563
129,4.539277317760779
130,5.052843216888928
131,4.691276264405451
132,4.568366238985903
133,4.623149273974243
134,4.52174945343678
135,4.796027314542149
136,4.660023941397716
137,4.560745117056761
138,5.154726154028389
139,4.542678995985977
140,4.723283236882433
141,11.010848604029277
142,6.0686559061271295
143,4.496782379340871
144,4.581426080641279
145,4.852142373228558
146,4.555187254528272
147,4.70297701263768
148,4.6186670674122015
149,4.5482930199125216
150,4.762905973438508
151,4.89841734057362
152,4.5647489915315855
153,5.001183086691831
154,4.618859376345453
155,4.496397561863229
156,4.783811764740306
157,4.6434154669649015
158,4.627437752029685
159,4.68582786840981
160,4.543490690471426
161,4.527339319193687
162,4.943031367890311
163,4.974515870326551
164,4.992969607970633
165,4.9770812952023
166,4.696991717901382
167,4.811711059758724
168,4.6122672283236925
169,4.872684742141422
170,6.731109205001314
171,4.659051921893872
172,4.542461177736056
173,4.907119685887558
174,4.631427295547889
175,4.839497876483314
176,4.645456449164344
177,5.403023063602611
178,4.602128094727793
179,4.578467011570749
180,4.64558804076758
181,5.660705320581825
182,4.609387483841967
183,4.636226732944074
184,5.783875479148972
185,4.951263352963481
186,4.5766852616992555
187,4.847439342007449
188,4.682319283317441
189,4.6327516787763106
190,4.541170485025751
191,5.032532192190029
192,5.040740193214305
193,4.5710671817424124
194,4.529828396224327
195,13.312835483304534
196,4.822329359930234
197,4.865190172612556
198,4.627893476441914
199,4.980124304984355
200,4.534890533496284
201,4.600055357749489
202,4.706337911722394
203,4.531387818928392
204,10.752371002153556
205,4.610287515388926
